;       proxy    proxy     proxy     ESPquad   ESP       ESP       ESP       ESP       ESP       MEGS-P    MEGS-P    ESP       ESP       ESP       ESP       Lat   Lon      proxy  proxy
;---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
;END_OF_HEADER
2013 313 11 09
0106  1.04e-06  4.04e-08  8.34e-04  9.15e-04  8.86e-04  5.20e-04  9.34e-04  1.54e-01  4.93e+01  6.49e-03  3.94e+01  3.23e-01  1.79e-01  3.22e-01  1.75e-01 -16.3  -6.7  1.94e+03  1.40e-06
0107  9.96e-07  3.88e-08  8.34e-04  9.09e-04  8.86e-04  5.20e-04  9.34e-04  1.38e-01  4.93e+01  6.49e-03  3.94e+01  3.23e-01  1.79e-01  3.22e-01  1.76e-01 -16.3  -6.3  1.94e+03  1.37e-06
0108  9.86e-07  3.84e-08  8.35e-04  9.04e-04  8.86e-04  5.21e-04  9.34e-04  2.64e-01  4.93e+01  6.49e-03  3.94e+01  3.23e-01  1.79e-01  3.22e-01  1.76e-01 -16.2  -6.4  1.94e+03  1.37e-06
0109  9.69e-07  3.78e-08  8.35e-04  9.00e-04  8.86e-04  5.21e-04  9.34e-04  6.67e-01  4.93e+01  6.50e-03  3.94e+01  3.24e-01  1.78e-01  3.22e-01  1.76e-01 -16.3  -6.4  1.94e+03  1.35e-06
0110  9.62e-07  3.76e-08  8.34e-04  8.99e-04  8.87e-04  5.21e-04  9.34e-04  7.51e-01  4.93e+01  6.50e-03  3.94e+01  3.24e-01  1.78e-01  3.22e-01  1.76e-01 -16.4  -6.4  1.94e+03  1.35e-06
0111  9.47e-07  3.70e-08  8.34e-04  8.96e-04  8.87e-04  5.21e-04  9.33e-04  9.68e-01  4.93e+01  6.50e-03  3.94e+01  3.23e-01  1.79e-01  3.23e-01  1.75e-01 -16.3  -6.3  1.95e+03  1.34e-06
0112  9.53e-07  3.73e-08  8.34e-04  8.97e-04  8.87e-04  5.21e-04  9.33e-04  1.58e+00  4.92e+01  6.50e-03  3.94e+01  3.22e-01  1.79e-01  3.24e-01  1.75e-01 -16.3  -5.7  1.95e+03  1.34e-06
0113  9.34e-07  3.66e-08  8.35e-04  8.92e-04  8.88e-04  5.21e-04  9.35e-04  2.06e+00  4.92e+01  6.51e-03  3.94e+01  3.21e-01  1.79e-01  3.25e-01  1.75e-01 -16.4  -5.3  1.95e+03  1.33e-06
0114  9.22e-07  3.62e-08  8.36e-04  8.89e-04  8.88e-04  5.21e-04  9.36e-04  3.09e+00  4.92e+01  6.52e-03  3.94e+01  3.21e-01  1.78e-01  3.25e-01  1.75e-01 -16.4  -5.1  1.95e+03  1.32e-06
0115  8.97e-07  3.53e-08  8.35e-04  8.82e-04  8.88e-04  5.21e-04  9.35e-04  3.53e+00  4.92e+01  6.51e-03  3.94e+01  3.20e-01  1.80e-01  3.25e-01  1.75e-01 -16.3  -5.5  1.95e+03  1.30e-06
0116  8.76e-07  3.45e-08  8.35e-04  8.78e-04  8.88e-04  5.20e-04  9.34e-04  3.93e+00  4.92e+01  6.51e-03  3.94e+01  3.20e-01  1.79e-01  3.25e-01  1.76e-01 -16.3  -5.2  1.95e+03  1.29e-06
0117  8.66e-07  3.41e-08  8.34e-04  8.74e-04  8.88e-04  5.21e-04  9.33e-04  4.18e+00  4.91e+01  6.50e-03  3.94e+01  3.21e-01  1.79e-01  3.25e-01  1.75e-01 -16.4  -5.2  1.95e+03  1.28e-06
0118  8.41e-07  3.32e-08  8.34e-04  8.70e-04  8.88e-04  5.21e-04  9.32e-04  4.63e+00  4.92e+01  6.50e-03  3.94e+01  3.21e-01  1.78e-01  3.25e-01  1.76e-01 -16.3  -4.9  1.95e+03  1.26e-06
0119  8.31e-07  3.28e-08  8.33e-04  8.66e-04  8.88e-04  5.22e-04  9.31e-04  5.47e+00  4.92e+01  6.49e-03  3.94e+01  3.21e-01  1.78e-01  3.25e-01  1.76e-01 -16.4  -4.7  1.96e+03  1.26e-06
0120  8.22e-07  3.25e-08  8.33e-04  8.65e-04  8.88e-04  5.23e-04  9.31e-04  6.08e+00  4.92e+01  6.50e-03  3.94e+01  3.20e-01  1.78e-01  3.26e-01  1.76e-01 -16.3  -4.4  1.96e+03  1.25e-06
0121  8.10e-07  3.21e-08  8.33e-04  8.63e-04  8.88e-04  5.23e-04  9.31e-04  6.77e+00  4.92e+01  6.50e-03  3.94e+01  3.19e-01  1.78e-01  3.26e-01  1.76e-01 -16.3  -4.1  1.96e+03  1.24e-06
