time,6-12 keV,12-25 keV,25-50 keV,50-100 keV,100-300 keV,300-800 keV
09/11/13 05:20,24.4627,124.27,158.029,130.875,127.695,49.9038
09/11/13 05:20,26.6647,118.89,159.499,124.517,135.281,42.0765
09/11/13 05:20,24.7084,124.276,162.44,131.615,148.006,43.5456
09/11/13 05:20,21.5269,113.016,164.387,126.226,148.242,47.457
09/11/13 05:20,21.772,125.25,163.168,127.941,143.842,49.6597
09/11/13 05:20,22.9948,118.643,150.445,127.45,137.969,44.5218
09/11/13 05:20,19.8158,118.161,163.419,130.882,142.38,48.928
09/11/13 05:20,24.7092,123.791,149.234,133.821,141.405,48.9291
09/11/13 05:20,22.9964,118.896,168.559,134.798,132.596,48.684
09/11/13 05:21,24.9532,121.341,159.26,135.041,138.466,49.4171
09/11/13 05:21,25.9312,113.755,153.63,125.253,143.845,49.9053
09/11/13 05:21,23.2393,112.527,158.272,122.067,139.925,52.3495
09/11/13 05:21,27.3996,124.522,162.685,126.968,133.329,45.503
09/11/13 05:21,21.2843,122.079,160.977,139.693,142.384,50.8865
09/11/13 05:21,21.7719,117.91,154.115,134.056,137.725,45.7454
09/11/13 05:21,22.2593,118.39,152.635,122.059,133.556,43.7849
09/11/13 05:21,26.1735,113.989,147.257,128.666,135.76,46.2317
09/11/13 05:21,24.4623,115.217,153.868,128.182,131.852,48.9246
09/11/13 05:21,23.9737,119.868,166.348,133.078,150.692,47.4581
09/11/13 05:21,18.8368,119.871,152.652,134.549,136.506,51.8624
09/11/13 05:21,23.9749,120.608,157.06,135.531,140.669,45.5033
09/11/13 05:21,21.7708,109.343,153.863,130.869,147.503,44.0308
09/11/13 05:21,21.2815,117.17,145.301,132.581,144.078,44.2752
09/11/13 05:22,20.5485,119.377,154.848,127.939,140.17,45.9896
09/11/13 05:22,20.7939,113.265,155.587,131.858,144.334,49.416
09/11/13 05:22,24.4631,114.976,166.593,118.89,144.087,49.1707
09/11/13 05:22,20.3039,119.867,143.84,135.523,134.789,49.1698
09/11/13 05:22,21.0376,114.239,148.976,128.917,133.564,48.4354
09/11/13 05:22,21.0363,100.779,152.391,128.419,137.225,52.1015
09/11/13 05:22,22.5058,107.881,153.871,136.013,146.533,47.9472
09/11/13 05:22,20.3034,112.525,160.225,140.9,128.18,44.5206
09/11/13 05:22,22.0181,116.206,160.977,128.928,145.075,42.5683
09/11/13 05:22,21.7715,104.454,151.911,130.629,140.169,47.4569
09/11/13 05:22,18.1015,118.149,152.395,134.294,151.661,43.0522
09/11/13 05:22,19.3246,112.034,153.129,133.804,141.143,48.1892
