XCEN,YCEN,FOVX,FOVY
26.12400000000000,-292.1260000000000,394.982,394.982
26.12400000000000,-292.1260000000000,2106.57,2106.57
26.27850000000000,-292.0490000000000,394.982,394.982
26.20120000000000,-292.1260000000000,526.643,526.643
26.20120000000000,-292.1260000000000,526.643,526.643
26.27850000000000,-291.9710000000000,394.982,394.982
26.27850000000000,-292.2800000000000,2106.57,2106.57
26.35570000000000,-292.1260000000000,394.982,394.982
26.35570000000000,-292.0490000000000,526.643,526.643
26.27850000000000,-292.1260000000000,526.643,526.643
26.43300000000000,-292.0490000000000,394.982,394.982
26.43300000000000,-292.0490000000000,2106.57,2106.57
26.51020000000000,-292.0490000000000,394.982,394.982
26.51020000000000,-291.9710000000000,394.982,394.982
26.51020000000000,-292.0490000000000,2106.57,2106.57
26.51020000000000,-291.9710000000000,2106.57,2106.57
26.58740000000000,-291.9710000000000,2106.57,2106.57
26.81920000000000,-292.2030000000000,2106.57,2106.57
26.81920000000000,-292.0490000000000,2106.57,2106.57
26.89640000000000,-292.2030000000000,2106.57,2106.57
26.97370000000000,-292.2030000000000,2106.57,2106.57
27.05090000000000,-292.2030000000000,394.982,394.982
27.05090000000000,-292.2030000000000,394.982,394.982
27.12820000000000,-292.2030000000000,2106.57,2106.57
27.12820000000000,-291.9710000000000,2106.57,2106.57
27.20540000000000,-292.1260000000000,2106.57,2106.57
27.20540000000000,-292.1260000000000,2106.57,2106.57
27.35990000000000,-292.1260000000000,2106.57,2106.57
27.43720000000000,-292.0490000000000,2106.57,2106.57
27.51440000000000,-292.1260000000000,2106.57,2106.57
27.59170000000000,-292.0490000000000,2106.57,2106.57
27.51440000000000,-291.9710000000000,394.982,394.982
27.66890000000000,-292.2030000000000,394.982,394.982
